district,household_size,monthly_income_npr,land_owned_hectares,crop_diversity_score,livestock_count,distance_to_market_km,remittance_income,education_years_head,meals_per_day,diet_diversity_score,disaster_exposure_count,water_access,food_security_status
Pyuthan,10,38582.7056,0.568126703,5,5,41,8024.632527,2,3,4,1,1,1
Ilam,4,26503.40879,0.283824157,2,2,35,41727.75815,14,3,5,3,1,1
Khotang,2,43882.11592,0.000821353,10,0,45,22377.94451,3,3,2,2,1,1
Kavrepalanchok,10,21724.38918,0.355003769,10,1,39,4678.060676,1,1,12,0,1,2
Ilam,9,19069.63491,0.194375312,7,1,5,9394.846668,4,3,11,3,1,2
Palpa,10,47345.71375,0.066121072,3,2,43,31560.25663,1,2,11,0,1,1
Sankhuwasabha,7,48692.14028,0.046879787,1,2,39,340.8041283,6,2,4,1,0,2
Sunsari,4,14620.18751,0.256220121,3,3,5,13064.96746,10,2,11,1,1,0
Syangja,3,15211.23708,0.57232919,9,2,14,3958.709988,11,3,3,5,0,1
Sankhuwasabha,10,27879.2049,1.090317689,5,3,28,989.2145878,3,2,11,0,1,2
Dolpa,3,23619.12267,0.121683497,7,3,24,36603.77513,2,3,6,5,1,1
Mugu,9,42623.82021,0.33165975,3,6,18,25415.38312,7,2,4,0,1,0
Bajhang,5,35768.7974,0.298504957,4,4,13,3073.911382,4,3,1,1,0,1
Dhanusa,3,53638.50012,0.432180322,1,4,2,27205.15272,15,3,3,0,0,0
Panchthar,5,40076.1236,0.995136782,3,1,49,2374.870299,11,3,8,5,0,0
Saptari,2,24686.77073,0.483984701,7,0,41,9698.573711,8,3,12,1,1,1
Sindhupalchok,11,4741.93821,1.125038658,4,4,45,19407.00216,7,3,3,5,0,2
Lamjung,4,37871.29575,0.438573926,2,2,13,11447.28836,4,3,7,0,1,0
Mustang,10,7634.750236,0.55557342,5,7,38,28535.07517,14,2,2,2,1,2
Arghakhanchi,2,24488.71621,0.345093959,5,3,38,14391.02163,10,3,5,0,1,0
Baitadi,2,23452.37155,1.039287416,2,1,20,8483.231035,12,2,7,0,0,0
Kalikot,8,26865.16616,1.544850551,6,1,10,38886.46061,12,2,1,3,1,1
Jajarkot,1,13943.45184,0.611567003,10,4,49,554.5453778,16,3,11,2,1,1
Pyuthan,7,23395.57427,1.031492906,4,3,9,10053.14968,15,3,12,1,1,0
Panchthar,5,53334.47326,0.036489409,1,4,14,16216.66432,16,3,1,1,1,0
Manang,11,53290.3758,1.419390029,3,3,29,27123.67431,13,3,11,4,1,0
Mustang,8,59519.99641,0.1256369,9,2,43,11685.6921,6,2,8,2,1,1
Taplejung,1,35162.34441,0.177848393,10,0,16,32510.0284,8,3,2,2,1,0
Syangja,11,39339.50606,0.032882872,7,1,28,8334.124367,1,2,12,0,1,2
Humla,7,53569.78268,2.018342987,6,3,16,5721.730534,5,3,11,3,1,0
Dolakha,5,11469.42469,1.146369789,1,3,32,54636.83701,0,2,4,1,1,1
Jajarkot,4,47890.05611,1.46638278,9,3,37,16502.34535,6,3,3,1,0,0
Humla,7,55837.51557,1.127238731,9,1,20,8321.092801,15,3,5,3,1,0
Bajura,10,20776.63478,0.391814455,1,6,46,31579.35999,1,3,2,5,0,2
Jhapa,2,57122.22633,1.54686036,6,2,13,17236.60814,3,3,6,3,1,0
Udayapur,1,67923.45728,2.093482715,7,2,9,15238.96069,13,2,8,5,1,0
Jajarkot,1,47445.54673,0.418976615,2,5,41,19558.99281,10,3,5,5,0,0
Lalitpur,11,44512.0699,0.115877694,10,4,22,20107.95211,8,3,7,2,0,1
Mustang,1,17083.58321,0.644859841,8,4,38,10188.17263,4,3,5,5,0,1
Kaski,5,52107.26286,2.223939928,8,2,38,8153.010418,2,3,6,3,1,0
Khotang,10,18590.54956,1.23412381,6,8,13,36000.10491,1,3,9,3,1,1
Nuwakot,7,40915.85284,1.187497912,9,5,46,10314.86631,9,2,12,0,1,0
Kalikot,2,42537.52172,1.629208206,3,5,21,3646.781727,9,2,11,2,1,0
Okhaldhunga,10,3000,1.346319548,2,7,40,11059.70849,6,3,10,5,1,2
Baglung,8,41492.85414,0.898420468,2,2,27,525.4274504,14,3,11,4,0,2
Mahottari,4,76943.59658,0.7600897,6,2,46,19273.31578,4,2,1,4,0,1
Syangja,3,3000,0.184540836,7,3,8,2037.02195,7,3,10,1,1,2
Bajura,10,34137.7281,0.582669978,6,6,22,1777.096083,5,1,9,3,1,2
Tanahun,11,3846.153972,0.442245174,3,2,6,43880.82482,10,1,3,0,1,2
Udayapur,8,20693.73698,1.188057925,5,6,23,22212.81331,7,2,10,3,1,1
Chitwan,2,4123.570323,0.406024915,8,6,42,8022.389534,3,2,3,1,0,2
Rolpa,11,37552.67723,0.082002542,6,4,36,4108.189407,6,3,4,3,1,2
Lamjung,11,47697.67685,0.002990934,2,5,8,27819.57665,1,3,8,4,1,2
Kavrepalanchok,3,41555.81812,0.679685865,7,4,37,51906.49476,14,3,1,2,0,1
Mugu,3,20117.08049,0.47898248,8,2,6,10649.9482,8,3,4,3,0,1
Saptari,10,25249.68389,0.241149463,4,2,22,13015.22563,4,1,7,5,0,2
Rasuwa,11,39356.36298,0.111055183,1,6,24,4176.940358,2,3,12,4,0,2
Dhanusa,1,20617.21616,0.377219936,2,5,45,13346.56747,11,3,3,4,1,1
Kailali,6,13739.27826,0.063407321,4,2,21,7677.332678,6,3,7,1,0,1
Rukum West,2,31173.96704,0.245781918,7,2,42,28021.04098,4,2,11,2,0,0
Rolpa,1,19884.66865,0.286059293,2,4,6,7100.852833,11,3,5,1,1,1
Tanahun,2,41584.92668,0.375987384,6,3,5,15695.1007,3,3,10,0,0,0
Rolpa,6,55779.15841,0.377113543,2,3,35,3412.28221,12,2,11,5,0,1
Darchula,4,76561.33444,0.178240098,7,6,45,1425.754995,14,2,9,2,1,1
Bhojpur,6,40409.07059,1.139116511,2,3,21,617.8812563,9,2,8,0,1,0
Kanchanpur,9,45335.55461,0.263608778,3,4,34,8058.710288,0,1,11,2,1,2
Dhankuta,10,25410.92251,0.156497367,9,4,48,2678.446415,2,3,3,4,1,2
Rolpa,10,26401.97161,0.116012431,4,4,46,75493.65128,15,3,12,0,0,1
Bajura,8,55544.89994,0.233676867,5,4,32,24020.81021,11,3,4,2,1,0
Baglung,1,30578.7552,0.041965704,9,5,20,17731.85623,15,3,7,2,1,0
Humla,8,36167.15806,0.020076693,7,0,10,24392.54166,10,3,2,0,1,0
Saptari,9,54567.61072,0.557537742,8,3,12,4572.367693,10,2,10,2,1,1
Bhaktapur,6,30701.96525,0.579205297,3,1,2,31712.2319,13,3,11,1,1,0
Gorkha,10,59006.727,0.452488082,4,3,12,81516.85094,16,3,6,1,1,0
Dhading,5,44168.46938,0.862010174,7,10,49,5134.280352,10,3,9,0,0,1
Myagdi,6,42286.37074,0.023962522,4,3,40,62648.3143,3,2,12,4,1,1
Bhaktapur,6,24628.97365,1.64907126,2,3,33,5793.687109,9,3,9,3,1,1
Lamjung,9,43146.01592,0.059935378,10,2,27,176.8856287,3,2,6,0,0,2
Bardiya,4,28135.26483,0.672557061,6,2,39,6864.346168,10,3,12,5,1,1
Dhading,2,42510.5417,0.0859043,9,1,33,89962.24483,6,3,6,0,0,0
Dang,11,33370.79895,1.271685474,2,4,31,15124.08612,8,2,6,0,0,1
Gorkha,11,50468.95314,0.428883982,1,4,22,17834.90998,1,3,11,5,0,1
Dadeldhura,9,34491.66124,0.051526621,8,5,23,4083.966109,0,3,10,5,1,2
Kailali,2,67605.7208,0.57540013,1,6,0,2365.957865,7,2,6,5,1,0
Ilam,10,30591.24835,0.005491016,1,2,23,32509.07427,15,3,3,0,0,2
Khotang,9,26446.80381,0.897724946,3,2,2,8000.982503,13,2,4,1,1,1
Doti,2,40537.82059,0.630896948,5,2,16,61.74066324,3,1,6,0,0,1
Lamjung,8,52245.93689,0.1434302,9,2,6,5227.327186,5,2,10,4,1,1
Sunsari,9,52121.57576,0.281763105,10,1,9,3267.343,14,2,1,3,1,2
Makwanpur,10,37668.50311,0.004702396,2,2,18,13886.49189,12,3,1,3,1,2
Rupandehi,9,40425.42657,0.709882456,1,4,23,21166.37964,3,3,7,4,1,1
Rukum East,10,40448.60892,0.233756358,1,4,8,10322.34979,1,3,1,0,0,2
Banke,9,17754.03498,0.50860324,8,3,49,3085.063114,2,2,5,3,1,2
Saptari,2,51385.17507,1.884144543,10,2,14,895.6842102,13,2,10,1,1,0
Bhaktapur,4,14874.29709,0.213548037,10,2,48,5642.978824,3,3,11,3,1,1
Terhathum,7,17784.02119,2.777547665,10,2,21,24595.62458,15,3,8,5,0,2
Khotang,2,35880.43335,0.600992167,2,1,16,8158.331917,10,2,6,4,1,1
Bhaktapur,1,29882.24425,0.166313325,9,2,18,4360.320838,12,2,3,3,1,2
Rupandehi,3,47738.51839,0.344448723,9,3,8,314.1382463,0,2,2,4,1,1
Dadeldhura,4,42157.64276,0.809290768,2,2,37,10279.53207,12,1,2,0,1,1
Nawalparasi East (Nawalpur),8,37211.22219,0.354872168,3,3,18,17319.27095,14,2,4,3,1,1
Sankhuwasabha,6,16991.45606,0.042580328,2,5,7,3166.917884,6,3,9,4,1,2
Dhading,11,35424.96168,0.110789194,6,5,5,11556.54253,4,2,9,1,1,1
Myagdi,2,34159.81649,0.940107998,7,1,48,8190.024809,5,1,1,1,1,2
Myagdi,9,38554.98779,0.627110724,6,3,37,18258.28608,8,3,5,2,1,1
Nuwakot,2,28119.39191,0.506138572,3,6,44,29556.64427,5,3,9,3,1,1
Gulmi,5,43365.08061,0.110081148,3,3,20,5501.937337,5,2,4,0,0,1
Dhading,4,29455.0234,1.091197688,2,3,28,35272.07359,1,2,11,5,1,1
Baitadi,7,41865.81544,1.942531129,2,1,33,18411.27259,5,3,7,2,1,0
Sindhuli,8,47736.76119,0.025047889,5,2,11,568.1156584,9,3,11,3,1,2
Jhapa,5,26446.47202,0.048746774,8,0,38,23498.75838,4,2,6,1,0,1
Doti,10,22645.46448,1.296258235,6,2,31,10236.87951,11,2,4,0,1,0
Lamjung,5,42621.8585,1.014233445,9,4,5,43632.5588,5,2,10,1,0,0
Bhojpur,2,13862.40511,0.577297862,5,5,16,5865.258436,5,3,11,3,1,1
Bajura,8,52786.63608,1.739873838,10,6,31,13418.4398,7,3,12,5,1,0
Kavrepalanchok,2,35175.40187,0.623805257,4,6,7,46903.4028,16,2,7,0,1,0
Rupandehi,10,33163.86557,0.145996487,9,6,37,4744.510253,10,2,7,0,1,1
Nawalparasi West (Parasi),6,43736.25469,0.782590494,10,3,28,9578.565226,0,3,2,2,1,1
Morang,8,42743.27233,0.622584279,5,3,30,20944.89679,6,3,7,0,1,0
Sunsari,6,35104.2892,2.550375992,1,5,18,17621.00134,7,2,9,3,1,0
Kalikot,4,49057.86257,0.144399507,5,2,8,27367.64319,2,3,6,5,1,0
Jajarkot,4,24241.78711,0.546610202,5,4,27,11003.1852,15,2,12,5,0,0
Gulmi,6,46397.70389,0.908933692,5,4,47,5761.158831,7,3,6,4,0,1
Dadeldhura,4,17742.02445,0.248385514,2,4,49,11488.4977,5,3,11,4,0,2
Khotang,8,43170.38386,0.28651148,6,5,38,6460.821423,1,3,6,0,0,0
Kaski,9,29754.02726,1.313028209,5,4,39,2911.610729,11,3,12,4,1,1
Bajura,1,14022.623,0.310704987,2,6,30,12144.19373,5,2,2,5,1,2
Makwanpur,4,39106.28507,0.588070267,10,3,18,743.8509822,13,3,12,3,1,0
Panchthar,4,34449.17611,1.320223659,8,0,32,558.9142479,6,3,6,2,0,0
Rolpa,2,10316.39185,0.141301706,6,2,25,1001.291192,8,3,6,1,1,2
Bhaktapur,6,3000,2.406353869,10,5,44,16749.10111,6,1,9,1,1,1
Syangja,3,32563.77867,0.726303527,3,1,0,7838.080586,14,3,2,3,1,0
Parbat,7,60891.61537,0.411252298,9,2,10,10221.69403,11,2,9,2,1,0
Jhapa,11,40136.24013,0.338241149,4,7,1,6310.178129,16,2,5,3,0,2
Kavrepalanchok,11,24307.14821,1.852243133,3,2,34,4388.132445,14,2,9,0,1,1
Taplejung,5,52309.91225,0.138195188,7,5,12,6654.636287,14,2,10,2,1,0
Nawalparasi West (Parasi),4,49515.57789,0.224103699,8,4,38,3223.504982,13,3,10,5,1,0
Ramechhap,5,55345.26525,0.220721929,7,2,33,17033.4039,10,2,2,4,1,1
Myagdi,8,45942.36423,0.204655055,1,2,33,1609.360568,10,1,5,0,0,1
Salyan,3,49174.43717,0.379274199,1,1,34,10912.99632,12,3,11,4,1,0
Bardiya,7,46697.7365,2.715772887,5,0,31,9717.646116,12,3,2,0,1,1
Taplejung,6,27359.92084,1.31778354,8,2,44,5391.401281,7,3,5,0,1,0
Mugu,1,8803.50817,0.238453136,10,3,11,1618.612839,6,2,7,0,0,2
Salyan,7,26661.83367,0.329812761,3,3,32,18228.42418,12,2,12,0,1,1
Dang,7,52678.99163,0.664254219,8,2,17,12643.52572,10,3,7,2,1,0
Syangja,1,28903.82662,0.010380285,3,3,4,24869.68427,5,2,12,2,1,1
Saptari,9,32672.65518,1.029391471,4,2,18,4028.463931,7,1,11,0,1,1
Ramechhap,6,16347.44107,1.271149257,10,5,30,23521.8569,4,3,7,3,1,0
Rupandehi,2,26182.56685,1.167787542,7,2,26,5178.517908,9,2,5,0,1,0
Bajhang,5,34854.57333,0.282054391,3,3,41,1791.734925,0,3,7,0,1,0
Rukum West,11,42880.99485,0.371937482,4,1,37,2173.935008,11,3,6,3,0,2
Panchthar,4,27661.42453,0.007479418,8,4,49,3747.289605,6,2,7,3,1,2
Doti,7,26543.40119,0.305891027,4,0,14,17205.80305,7,1,5,0,1,2
Rukum East,8,48474.80904,0.370186118,9,1,45,4194.949336,6,2,12,1,0,1
Bardiya,11,40204.26442,1.424927643,4,6,47,13890.22873,13,2,2,1,1,0
Nuwakot,11,42178.75944,1.346519944,4,3,3,4446.257281,3,3,9,3,1,1
Parbat,1,59453.12938,2.030552198,5,4,18,6817.233839,9,3,2,0,1,0
Mustang,5,26918.80979,1.298241889,1,5,20,33071.16171,10,3,3,5,1,0
Mugu,3,34215.69327,0.004940712,7,8,39,10408.07282,10,1,9,4,0,1
Rasuwa,1,43818.55639,0.615430456,9,7,0,13753.80723,0,2,2,4,0,1
Lamjung,3,21055.88221,0.042406513,9,3,19,3147.429396,1,3,8,0,0,1
Sankhuwasabha,6,38664.79581,0.190962535,1,3,21,2114.920233,8,3,12,0,1,1
Dhankuta,7,35355.14396,0.518087526,6,1,12,7995.563848,16,1,3,0,1,2
Manang,8,79436.79059,0.723612577,3,7,40,29005.25537,4,3,6,4,0,1
Dhanusa,11,36597.91203,0.637886903,4,8,0,4134.793923,1,2,9,4,1,2
Gulmi,4,53511.03625,0.030181556,8,1,14,14580.71705,3,2,10,3,1,1
Dailekh,3,48279.09142,0.065623712,4,5,14,30847.15497,6,2,10,2,1,0
Rolpa,5,16495.01435,0.082583419,8,3,13,40865.07745,16,3,3,3,0,2
Salyan,9,10218.81859,0.057519689,4,5,4,76224.56128,2,3,9,3,1,2
Sindhupalchok,6,38952.23369,0.117780067,9,2,48,21592.71592,8,3,7,1,1,0
Rasuwa,9,55117.35459,0.699790049,6,3,5,1169.587195,0,2,5,5,0,2
Achham,6,39606.63711,1.06613641,1,4,40,30772.9597,15,3,8,3,1,0
Rukum East,2,36261.62886,0.315374643,10,6,30,32525.64882,2,2,6,3,1,0
Darchula,5,30454.61355,0.708117647,2,1,25,12222.36264,15,2,7,3,0,1
Gorkha,11,13816.62005,0.133898327,7,7,24,1047.192664,0,2,3,3,1,2
Arghakhanchi,9,19631.66852,2.173409163,10,3,48,9713.011191,11,3,10,2,0,2
Bhaktapur,8,9042.980979,0.258467463,7,4,38,3549.132716,5,3,11,1,1,2
Mugu,7,17351.25441,1.121963283,3,6,39,8753.823185,2,2,6,4,0,2
Dolakha,1,26583.8682,1.74426342,1,2,14,19317.19156,6,2,11,5,1,0
Nuwakot,4,47416.25634,1.200218369,8,0,5,16519.01626,2,3,3,0,1,0
Kathmandu,7,27878.92383,0.041653554,10,1,0,22711.35961,12,2,7,4,1,1
Arghakhanchi,11,39090.01257,0.630420061,10,4,40,9708.925338,15,3,10,1,1,1
Achham,7,37163.66738,0.076761871,7,3,6,10724.51539,13,3,6,3,0,1
Arghakhanchi,6,42984.78137,0.003407458,10,3,3,41160.42433,8,3,10,4,1,0
Sindhuli,8,18442.9611,0.031903421,8,4,0,14961.8482,7,3,12,3,0,2
Mugu,11,51947.09944,1.487229725,1,5,40,20647.57435,14,3,8,5,1,0
Jumla,6,12485.16824,1.434610581,3,1,1,16382.77049,12,2,8,2,0,0
Arghakhanchi,10,27834.98876,0.153573925,2,7,47,15345.00793,13,2,6,2,1,1
Achham,3,34665.51348,0.475198977,1,6,33,36721.47391,10,2,2,5,1,1
Taplejung,4,47162.31757,1.861032622,5,2,34,6612.167649,2,3,10,5,1,0
Sunsari,3,57068.94937,0.411948627,3,3,45,8371.12584,3,3,10,1,1,0
Rolpa,1,47288.50432,0.300107321,10,4,12,7164.499594,2,1,6,5,1,1
Banke,10,57654.66172,0.396116132,8,1,16,21735.12019,12,3,1,4,1,1
Kalikot,5,21733.18513,0.937005427,6,4,9,30422.05986,15,2,6,2,0,0
Chitwan,1,54045.92768,0.389222881,10,7,2,6635.882968,12,3,6,5,1,0
Lalitpur,1,51298.50768,0.917483029,9,1,3,2303.336559,9,2,6,1,1,0
Bhaktapur,2,3000,0.339060802,9,3,24,10221.44015,7,3,12,1,1,1
Arghakhanchi,4,31472.5721,0.17421593,6,1,36,62338.71722,6,2,9,1,0,0
Nawalparasi East (Nawalpur),6,44632.59877,0.237136076,2,4,42,3416.345705,16,3,4,4,1,0
Lalitpur,8,26753.37815,0.048611162,9,4,37,9022.225557,5,2,11,5,0,2
Siraha,3,17626.79724,0.412753883,2,2,28,4749.184232,14,2,7,4,1,1
Syangja,1,68826.80349,0.096179372,3,6,0,38396.8228,8,3,11,1,1,0
Sarlahi,3,36776.64242,1.001344004,6,3,29,12008.22357,9,3,3,0,1,0
Mahottari,3,37214.48695,0.327447555,2,4,38,12967.73466,7,3,8,5,1,0
Taplejung,5,14056.09416,0.868907793,5,2,9,124.4333976,6,3,2,5,1,2
Rupandehi,11,25202.22407,1.853504164,2,5,28,15866.93985,4,3,2,4,0,2
Kailali,4,20634.54993,1.136187415,4,3,43,5486.868889,15,3,5,4,0,1
Lamjung,4,52263.60368,1.815265734,3,4,31,10805.19655,14,3,1,0,1,0
Rolpa,9,43074.13793,0.503509664,5,3,43,11359.44292,9,3,1,4,1,1
Mugu,7,25870.98092,0.108427304,6,3,0,13455.5785,0,3,11,4,1,1
Okhaldhunga,4,43968.00382,1.643686945,7,6,40,26019.86405,5,3,3,5,1,1
Taplejung,3,30943.67767,1.21726909,10,1,16,5327.312341,14,3,6,2,1,0
Terhathum,6,38751.85149,1.198885027,8,4,11,4438.967729,1,3,10,0,0,0
Bhaktapur,3,38676.22219,0.709081099,9,1,1,23830.48055,11,2,12,2,1,0
Dang,6,41724.27537,0.588363586,4,1,8,19025.99374,0,3,6,5,1,0
Solukhumbu,11,39794.43077,0.008900019,4,4,11,3835.290492,14,2,8,0,1,1
Chitwan,11,41736.79442,0.827124465,7,3,24,12.55059475,12,2,7,0,1,1
Ilam,9,55092.93297,0.057599428,10,1,35,16446.35458,0,3,1,0,0,2
Doti,6,45249.00405,0.180461146,10,2,43,2564.992888,0,3,1,4,0,2
Manang,4,29609.5718,0.481094976,9,2,49,47197.03046,3,2,4,1,1,0
Dang,5,33432.75606,0.360595276,2,2,34,13910.55136,13,3,1,3,0,1
Chitwan,6,54682.72941,0.009540078,6,3,21,28422.02227,16,2,1,1,1,1
Pyuthan,11,36798.75928,1.042311835,10,4,32,24569.22126,12,1,10,4,1,1
Dhankuta,3,29015.70532,1.266192666,10,7,49,12239.81798,11,2,1,4,1,1
Terhathum,8,24901.78653,0.687182656,8,2,20,8653.165042,5,2,11,3,1,2
Dolpa,4,39368.60973,0.467311752,5,7,39,10301.46615,15,2,3,4,1,1
Bardiya,8,21322.29116,1.942496427,5,0,21,24367.41595,15,3,10,0,0,0
Kanchanpur,10,55556.72678,0.076670165,8,3,27,15343.55988,11,2,2,2,1,2
Dailekh,10,18394.90634,0.803440517,1,6,3,3454.735289,12,2,11,2,1,2
Bajura,3,58649.08361,0.082427693,6,2,25,14099.34549,0,3,10,0,0,0
Salyan,10,30436.31495,0.288609431,10,1,22,7779.504883,1,3,8,1,0,1
Kanchanpur,7,17772.20234,0.52838696,9,2,47,948.8502622,1,1,7,2,1,2
Rolpa,11,38026.81182,0.801560836,6,6,48,7201.274787,0,1,10,0,1,2
Terhathum,9,19751.37347,0.002233813,7,3,22,3873.820663,9,3,8,1,0,2
Manang,4,35549.94818,0.181148024,4,2,40,27356.60554,0,2,4,5,1,1
Mustang,8,25759.30349,0.463574538,10,6,7,1663.964393,13,3,9,2,1,1
Chitwan,3,50121.17229,0.456693338,1,3,31,6708.925754,7,2,5,0,1,0
Nawalparasi West (Parasi),7,37187.99376,0.609047791,9,1,38,17835.86787,0,3,7,2,1,0
Siraha,3,15983.98669,0.217317161,6,3,43,34152.57862,13,3,4,2,1,0
Dadeldhura,7,25447.41535,0.466607999,3,4,0,6126.669112,9,1,1,2,1,2
Kaski,11,46279.15599,0.126274697,4,5,29,13987.76999,7,2,11,3,1,2
Salyan,10,55593.47366,0.124120202,10,5,27,7017.679563,1,3,12,1,1,1
Udayapur,10,34275.60308,0.515611687,6,1,16,3401.272069,3,2,8,2,0,2
Dang,11,18289.65501,0.694010422,6,2,22,5911.598442,11,1,9,0,1,2
Kapilvastu,11,51864.58097,0.076972789,9,7,37,15154.98998,8,1,9,3,1,2
Dhankuta,6,46209.0188,0.07860525,4,3,23,18899.64914,0,3,10,4,0,1
Doti,2,55904.63335,0.4998632,5,3,21,6944.958007,7,3,8,4,0,1
Dhankuta,11,39643.34589,0.188905153,5,2,4,2482.533849,16,2,1,1,0,2
Gorkha,3,26670.44935,0.298942218,3,2,24,2254.627523,15,3,3,0,1,1
Kavrepalanchok,6,43270.21577,0.307244289,2,2,6,25118.77725,14,3,5,3,1,0
Sarlahi,4,40221.26758,0.118012613,8,4,21,15888.28582,8,3,7,0,0,0
Sarlahi,6,25802.02093,0.000789299,10,6,43,19530.99718,7,3,12,3,1,1
Myagdi,1,38178.21734,1.151013568,9,10,36,10048.90944,13,3,8,5,1,0
Bhaktapur,10,31879.58578,0.753163804,10,3,33,9168.525716,11,3,1,5,1,2
Jajarkot,1,46896.60552,0.703753066,9,3,35,3557.68885,14,3,5,5,1,0
Sankhuwasabha,3,42872.11057,0.474462804,5,2,48,2764.96828,3,3,3,3,0,2
Taplejung,8,18174.53771,0.724326133,9,2,39,2507.002425,3,2,7,4,1,2
Rupandehi,8,16561.23873,1.646408946,4,6,19,72033.56436,1,3,6,5,1,1
Baitadi,11,33563.02122,0.657382755,2,1,36,25796.47236,3,2,12,1,1,1
Sindhuli,4,35525.10857,0.184805486,3,4,16,14757.69127,14,3,1,1,1,0
Jhapa,6,47175.62839,0.507164019,1,6,3,3619.687612,7,1,11,0,1,1
Sankhuwasabha,8,43212.86257,0.350386712,5,2,49,6179.616891,9,2,2,3,0,2
Kanchanpur,7,58338.97029,0.487725091,1,3,17,6479.886622,1,2,5,5,1,1
Morang,11,27524.90457,0.437402012,1,1,27,9741.933416,8,3,5,3,1,2
Sindhuli,7,26611.42289,1.174441761,7,5,49,8222.637962,15,2,1,2,0,1
Khotang,4,19642.97591,0.632987129,2,1,15,40806.3631,11,3,11,1,1,0
Kaski,9,46990.51384,0.125513677,8,3,42,19137.92275,4,2,12,3,1,2
Lamjung,10,35348.03494,0.039053942,6,3,7,1273.653237,6,3,12,0,0,2
Panchthar,6,5342.343729,0.331367637,4,4,43,6693.294075,14,2,4,5,1,2
Rukum West,11,38234.64604,0.009440251,9,2,17,2140.097998,12,2,12,4,1,2
Palpa,3,39255.52269,0.22989706,10,2,49,4914.120256,7,3,9,5,1,1
Sindhupalchok,5,32690.44892,0.275339914,8,4,28,47873.65406,4,2,9,4,1,1
Doti,5,39746.47765,0.282567763,10,0,39,18325.10543,16,2,5,1,1,0
Lalitpur,5,15476.22881,2.328024682,3,3,15,118.2478032,6,3,7,5,1,1
Dailekh,8,61256.50935,0.217357926,3,3,29,5981.691686,13,3,11,1,1,1
Udayapur,9,41084.15082,0.184916607,4,7,48,8662.542776,14,3,2,2,0,2
Panchthar,9,6620.817871,0.083130448,9,3,33,13838.4591,16,3,1,1,1,2
Syangja,6,34905.64641,0.429246515,9,2,29,10389.02048,2,3,12,3,1,0
Kailali,6,41507.52319,0.100110608,5,2,20,1084.895527,12,2,2,3,1,1
Rasuwa,9,17193.0868,0.574728301,9,1,21,10871.03741,10,3,4,3,1,2
Bajhang,4,43538.08446,0.101164654,6,1,46,2093.401953,2,3,6,3,0,1
Dolakha,6,61894.80997,0.51576666,8,3,24,10984.55122,5,2,3,2,1,0
Okhaldhunga,4,24690.09503,1.050149118,8,2,21,4236.808647,5,3,2,1,1,1
Nuwakot,11,41855.01913,0.026073171,10,3,27,2335.643648,5,2,7,1,0,2
Surkhet,1,38337.57758,0.326574612,7,6,38,5093.537128,5,3,8,1,1,0
Bhaktapur,7,50492.64,0.370878336,4,2,32,1574.110366,5,2,9,2,0,1
Kaski,10,33258.52953,0.939459762,4,3,1,5010.785692,13,2,11,2,1,1
Darchula,11,17932.53398,0.378571929,6,2,3,30253.50447,10,3,12,3,1,1
Mahottari,6,49466.91595,0.50295342,9,3,15,5504.574396,15,1,10,5,0,1
Baglung,9,18883.83055,0.939839277,7,1,11,9529.459388,6,1,8,2,1,2
Parbat,7,63941.78205,0.492259094,5,1,16,11003.55002,5,2,2,2,1,1
Lamjung,7,43972.30958,0.266180076,5,1,35,2945.530025,10,2,3,0,1,1
Manang,2,25417.71621,0.053851296,8,1,15,8745.151755,3,2,1,3,0,2
Dhanusa,11,52738.4258,0.785412531,6,3,38,28757.91414,0,3,1,3,1,2
Kaski,9,34852.97546,1.229408628,1,6,22,1259.320191,8,3,6,0,1,1
Rasuwa,10,31457.51102,2.105226869,1,5,7,38424.15034,12,3,3,1,1,1
Dhading,9,24106.08998,1.567097831,9,3,8,30732.35462,7,3,4,5,0,1
Bardiya,6,4949.136007,0.957966052,8,3,13,29051.38173,1,3,10,0,0,1
Makwanpur,3,44670.28113,0.618805386,6,4,8,3319.855168,15,1,12,0,1,1
Bhojpur,1,8949.971811,0.912472129,1,2,46,9933.84671,7,3,8,5,0,2
Syangja,4,22307.29069,0.339468752,2,3,25,14362.76519,11,3,5,5,1,1
Morang,3,41925.51286,0.541989485,10,5,35,1579.573158,10,2,12,0,1,0
Rukum West,1,26989.17758,0.257270772,3,6,2,12207.55259,8,3,11,2,1,0
Achham,3,37514.42993,0.237346782,10,1,9,27492.77377,9,1,6,0,1,0
Ilam,4,15580.87498,0.84805573,3,4,24,41363.47754,0,1,9,4,1,2
Nawalparasi East (Nawalpur),8,29424.65003,0.363007921,2,3,3,4892.778998,16,2,11,0,1,1
Dhanusa,9,37614.17128,0.143077115,2,4,29,5110.74422,3,3,11,1,0,2
Nuwakot,3,19776.43975,0.135341516,6,2,49,4735.681376,11,3,2,1,1,2
Kalikot,6,61981.81564,1.176131135,7,5,10,2498.791482,7,3,3,5,1,0
Nawalparasi West (Parasi),10,24801.21739,0.679476122,4,1,18,8450.578537,15,3,5,1,0,1
Humla,11,57054.66861,0.473855742,1,4,49,23019.74736,0,3,2,0,0,2
Sankhuwasabha,5,32315.11128,0.307434845,6,5,12,18676.53939,8,2,8,3,0,1
Salyan,6,9904.390943,0.33813238,7,1,35,34586.75574,10,3,2,1,1,1
